id,title,text,timestamp,added_by
1,Заголовок сайта,Уроки игры на джембе в Краснодаре,2025-05-26 12:15:20.610082,Дмитрий
2,Подзаголовок сайта,Персональные и групповые занятия,2025-05-30 07:38:18.798347,Дмитрий
3,Надпись на кнопке,записаться на бесплатный урок,2025-05-30 07:39:41.384204,Дмитрий
4,Название 2 раздела,О джембе,2025-05-30 07:40:27.129898,Дмитрий
5,Содержимое 2 раздела,"Джембе — это удивительно доступный музыкальный инструмент, который может освоить практически каждый, независимо от возраста. Для успешного обучения вам понадобятся всего две руки, умение считать до четырех и, что самое важное, желание учиться.
<br>
Занятия на джембе не только развивают координацию и память, но и помогают отвлечься от повседневных забот. Игра на джембе становится своего рода медитацией, позволяя погрузиться в мир ритма и звука.",2025-05-30 07:40:46.738125,Дмитрий
6,Название 3 раздела,Обо мне,2025-05-30 07:41:08.257959,Дмитрий
7,Содержимое 3 раздела,"Меня зовут Евгений, я профессиональный музыкант и перкуссионист, играющий в группе <a href=""https://vk.com/ash.wood"" target=""_blank"" class=""u-active-none u-border-none u-btn u-button-style u-hover-none u-none u-text-palette-1-base u-btn-1"">Ash.Wood</a>, а также участник проекта музыкальных медитаций и преподаватель игры на джембе. ​Помимо джембе, в моем арсенале также есть бубен, варган, шейкеры и другие перкуссионные инструменты.",2025-05-30 07:44:23.479260,Дмитрий
8,Название раздела 4,Уроки,2025-05-30 07:45:06.306615,Дмитрий
9,Содержимое раздела 4,"Предлагаю окунуться в мир ритма каждому желающему начиная с 7 лет.
Занятия проходят в профессионально оборудованной музыкальной студии, где есть всё необходимое для комфортного обучения.<br>
В наличии есть инструмент для занятий и, при необходимости, возможен прокат.<br>",2025-05-30 07:45:39.618083,Дмитрий
10,Заголовок списка в разделе 4,Процесс обучения включает в себя:,2025-05-30 07:46:11.547339,Дмитрий
11,Название раздела 5,Контакты,2025-05-30 07:47:15.923412,Дмитрий
12,Текст 1 _ раздел 5,Записаться на урок или задать любые вопросы по занятиям:,2025-05-30 07:47:50.033237,Дмитрий
13,Текст 2 _ раздел 5,"Оставить свой номер телефона, чтобы я перезвонил:",2025-05-30 07:48:07.648163,Дмитрий
